A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
0,0,0,0,2,0,2,1,2,2,0,0,0,2,1,0,0,0,2,2,0
1,0,0,1,0,0,2,0,0,2,0,0,1,2,2,0,0,0,1,1,2
2,0,0,0,0,2,0,1,0,0,1,0,1,0,0,2,0,2,0,0,2
3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1,0,2
4,2,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,1,2,0,2
5,0,0,2,2,2,0,2,0,0,1,0,0,0,0,0,1,0,1,2,2
6,0,0,2,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
7,2,0,0,0,0,2,2,0,0,0,0,2,2,0,2,1,0,0,0,2
8,2,0,2,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,1,2
9,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,2,0,0,2,1
10,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,2,0
11,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0
12,1,2,2,2,0,0,0,1,2,0,0,0,0,0,1,0,0,1,2,0
13,0,1,2,2,2,0,1,1,0,0,1,0,0,0,0,1,2,1,1,2
14,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
15,1,0,0,2,0,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0
16,1,0,0,0,0,2,0,1,1,1,0,2,0,2,1,0,1,0,0,0
17,0,0,0,0,0,0,0,1,2,0,1,0,2,2,0,0,0,0,0,1
18,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0
19,0,2,0,1,0,0,2,0,0,0,1,0,0,0,1,1,1,0,1,1
20,0,0,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,1,0,2,0,0,2,0,0,0,1,2,0,1,1,0,0
22,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0
23,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0
24,1,1,0,0,2,2,0,0,0,0,0,1,2,0,0,0,0,0,2,0
25,1,2,0,0,0,0,0,1,1,1,0,1,0,2,0,0,2,2,0,0
26,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
27,0,1,1,0,0,0,2,0,2,0,2,2,0,0,2,2,0,0,0,2
28,0,0,0,0,0,0,0,2,0,1,1,2,0,0,1,1,1,0,0,0
29,0,0,1,0,1,2,0,0,2,2,2,0,2,0,1,0,0,0,2,0
30,2,0,1,2,1,0,0,0,1,0,0,0,2,0,2,0,0,0,1,0
31,1,0,0,0,0,1,1,1,0,1,0,2,2,0,0,0,1,2,2,0
32,0,1,0,1,0,0,0,2,0,0,0,2,2,0,1,2,0,0,1,1
33,0,2,2,0,0,0,2,0,1,0,2,2,1,0,0,0,2,0,1,2
34,0,1,0,0,0,0,0,0,2,0,0,1,2,0,2,2,1,2,2,0
35,0,0,2,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
36,0,2,1,0,1,2,1,0,0,0,1,0,2,0,2,0,1,0,2,0
37,0,0,1,2,0,0,0,0,0,2,0,0,0,1,0,2,1,2,0,2
38,1,0,0,0,1,0,0,0,1,0,0,2,0,2,1,0,1,0,1,0
39,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,2,2,2,0
40,0,2,0,0,0,1,0,0,2,2,0,2,0,0,1,0,0,0,0,0
41,1,2,2,0,1,2,0,1,0,0,2,0,2,1,2,0,0,1,2,0
42,0,1,0,0,0,2,0,1,0,1,0,1,0,0,0,1,2,2,0,0
43,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,2,0
44,2,2,0,0,0,2,0,2,0,1,2,2,0,0,0,1,1,0,0,2
45,2,0,0,0,0,1,1,2,2,0,0,0,2,0,0,0,0,0,0,1
46,1,0,0,0,0,0,2,2,1,1,1,0,0,1,1,0,0,2,0,0
47,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,2,0,2,0
48,0,0,0,1,0,0,1,1,2,2,0,0,1,0,1,2,1,0,2,2
49,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,1,2,0,0
50,0,1,0,0,2,0,0,0,1,2,0,1,0,2,1,0,1,0,0,0
51,1,0,1,0,0,0,1,0,0,2,2,1,0,0,0,0,1,1,1,2
52,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2
53,0,0,0,0,1,2,0,0,1,1,2,1,0,0,0,2,0,0,0,0
54,2,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,1,0,0,0
55,0,0,0,0,1,1,0,2,2,0,0,0,0,1,0,1,0,2,0,2
56,1,0,0,0,1,0,0,2,2,1,0,0,0,0,0,2,1,0,0,0
57,0,2,0,0,0,0,2,2,1,0,0,2,0,1,1,1,1,0,0,0
58,0,0,0,0,2,0,2,1,0,2,0,1,0,0,0,0,2,0,1,0
59,2,0,0,2,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,2
60,0,0,0,0,2,2,2,0,0,0,0,2,0,0,0,2,0,2,2,0
