A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
0,0,1,1,2,0,2,0,0,0,1,0,2,0,0,1
1,0,0,1,2,1,0,0,0,0,0,0,2,1,0,0
2,0,1,1,0,0,1,0,0,0,2,0,0,0,2,1
3,0,0,1,0,0,0,1,0,0,0,1,2,1,0,0
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,0,0,0,1,0,0,2,0,0,2,0,0,2
6,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
7,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0
8,0,0,0,2,0,2,0,2,1,0,0,0,0,2,1
9,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0
10,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0
11,0,0,1,0,0,0,1,0,0,2,0,0,1,2,0
12,0,2,1,0,0,0,0,0,2,0,0,2,0,0,1
13,0,0,0,0,2,0,2,2,0,0,0,0,2,2,0
14,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
15,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1
16,1,0,0,0,0,0,1,0,1,2,0,0,2,2,0
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,2,0,1,2,0,0,0,0,0,0,0,0,0,2,0
19,2,0,2,0,1,1,2,0,1,0,0,0,0,2,0
20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0
22,0,0,0,0,0,0,0,2,1,2,1,0,1,2,0
23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
24,0,0,0,0,1,2,1,0,0,2,0,0,0,2,2
25,0,1,1,0,1,1,0,0,2,2,0,0,2,2,0
26,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1
27,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
28,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0
29,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0
30,0,0,1,0,0,1,0,0,0,0,1,0,2,2,0
31,0,0,0,0,0,2,0,2,1,0,0,0,2,0,0
32,0,0,1,0,0,0,2,1,2,0,0,0,1,2,0
33,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
35,0,1,0,0,0,1,0,1,2,2,2,0,0,0,2
36,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1
37,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
38,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
39,0,1,2,0,0,1,0,2,0,0,0,0,0,2,1
40,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0
41,0,2,0,0,0,2,0,0,1,0,2,0,0,0,0
42,1,0,0,0,1,2,1,0,0,2,0,0,1,2,0
43,2,0,0,1,2,0,0,0,0,1,0,2,1,0,1
44,2,2,0,0,1,0,0,0,1,0,0,1,1,2,2
45,0,0,0,2,0,0,0,0,0,0,0,2,2,0,1
46,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0
47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,0,0,1,0,1,1,1,0,0,0,0,1,2,2,0
49,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2
50,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0
51,0,0,0,0,1,0,0,0,0,0,2,0,2,2,0
52,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
53,0,2,1,0,0,0,0,0,0,0,0,1,0,2,0
