,Seed,Samples,Score,PRECISION,RECALL,V PRECISION,V RECALL,DAG PRECISION,DAG RECALL,HAMMING,SCALED HAMMING,SHD,SCALED SHD
0,0,1600,BDeu,0.9565217391304348,0.9565217391304348,0.48717948717948717,0.7916666666666666,0.6875,0.9565217391304348,4,0.08695652173913043,20,0.43478260869565216
1,0,1600,WMSE,0.7948717948717948,0.6739130434782609,0.3,0.125,0.37777777777777777,0.3695652173913043,23,0.5,42,0.9130434782608695
2,0,1600,BIC,0.6,0.45652173913043476,0.07692307692307693,0.041666666666666664,0.24444444444444444,0.2391304347826087,39,0.8478260869565217,56,1.2173913043478262
3,0,1600,qNML,0.5833333333333334,0.45652173913043476,0.07692307692307693,0.041666666666666664,0.2391304347826087,0.2391304347826087,40,0.8695652173913043,57,1.2391304347826086
4,0,3200,BDeu,0.8775510204081632,0.9347826086956522,0.7142857142857143,0.625,0.7017543859649122,0.8695652173913043,9,0.1956521739130435,18,0.391304347826087
5,0,3200,WMSE,0.8,0.6956521739130435,0.2,0.375,0.44776119402985076,0.6521739130434783,22,0.4782608695652174,46,1.0
6,0,3200,BIC,0.6944444444444444,0.5434782608695652,0.6666666666666666,0.08333333333333333,0.2972972972972973,0.2391304347826087,32,0.6956521739130435,47,1.0217391304347827
7,0,3200,qNML,0.6578947368421053,0.5434782608695652,0.6666666666666666,0.08333333333333333,0.28205128205128205,0.2391304347826087,34,0.7391304347826086,49,1.065217391304348
8,0,6400,BDeu,0.8958333333333334,0.9347826086956522,0.4642857142857143,0.5416666666666666,0.6065573770491803,0.8043478260869565,8,0.17391304347826086,24,0.5217391304347826
9,0,6400,WMSE,0.75,0.717391304347826,0.36363636363636365,0.16666666666666666,0.391304347826087,0.391304347826087,24,0.5217391304347826,40,0.8695652173913043
10,0,6400,BIC,0.7837837837837838,0.6304347826086957,1.0,0.125,0.42105263157894735,0.34782608695652173,25,0.5434782608695652,39,0.8478260869565217
11,0,6400,qNML,0.7435897435897436,0.6304347826086957,0.5,0.125,0.4,0.34782608695652173,27,0.5869565217391305,41,0.8913043478260869
12,0,12800,BDeu,0.9782608695652174,0.9782608695652174,0.95,0.7916666666666666,0.8269230769230769,0.9347826086956522,2,0.043478260869565216,10,0.21739130434782608
13,0,12800,WMSE,0.7916666666666666,0.8260869565217391,0.2777777777777778,0.20833333333333334,0.38181818181818183,0.45652173913043476,18,0.391304347826087,42,0.9130434782608695
14,0,12800,BIC,0.7209302325581395,0.6739130434782609,0.3,0.125,0.38636363636363635,0.3695652173913043,27,0.5869565217391305,42,0.9130434782608695
