,Seed,Samples,Score,PRECISION,RECALL,V PRECISION,V RECALL,DAG PRECISION,DAG RECALL,HAMMING,SCALED HAMMING,SHD,SCALED SHD
0,0,1600,BDeu,1.0,0.92,0.12903225806451613,0.8,0.6388888888888888,0.92,2,0.08,15,0.6
1,0,1600,WMSE,0.8888888888888888,0.64,0.08695652173913043,0.4,0.4444444444444444,0.64,11,0.44,27,1.08
2,0,1600,BIC,0.85,0.68,0.15384615384615385,0.4,0.5666666666666667,0.68,11,0.44,21,0.84
3,0,1600,qNML,0.8260869565217391,0.76,0.10526315789473684,0.4,0.5588235294117647,0.76,10,0.4,21,0.84
4,0,3200,BDeu,1.0,1.0,0.14285714285714285,1.0,0.6756756756756757,1.0,0,0.0,12,0.48
5,0,3200,WMSE,1.0,0.72,0.07407407407407407,0.4,0.5,0.72,7,0.28,25,1.0
6,0,3200,BIC,0.8333333333333334,0.8,0.11764705882352941,0.4,0.6060606060606061,0.8,9,0.36,18,0.72
7,0,3200,qNML,0.8461538461538461,0.88,0.3,0.6,0.5882352941176471,0.8,7,0.28,14,0.56
8,0,6400,BDeu,1.0,1.0,0.14285714285714285,1.0,0.6756756756756757,1.0,0,0.0,12,0.48
9,0,6400,WMSE,0.9047619047619048,0.76,0.0,0.0,0.5142857142857142,0.72,8,0.32,22,0.88
10,0,6400,BIC,0.9230769230769231,0.96,0.14285714285714285,0.8,0.6486486486486487,0.96,3,0.12,14,0.56
11,0,6400,qNML,0.8888888888888888,0.96,0.13333333333333333,0.8,0.631578947368421,0.96,4,0.16,15,0.6
12,0,12800,BDeu,1.0,1.0,0.14285714285714285,1.0,0.6756756756756757,1.0,0,0.0,12,0.48
13,0,12800,WMSE,1.0,0.84,0.029411764705882353,0.2,0.5405405405405406,0.8,4,0.16,21,0.84
14,0,12800,BIC,0.8888888888888888,0.96,0.13333333333333333,0.8,0.631578947368421,0.96,4,0.16,15,0.6
15,0,12800,qNML,0.8888888888888888,0.96,0.13333333333333333,0.8,0.631578947368421,0.96,4,0.16,15,0.6
16,0,25600,BDeu,1.0,1.0,0.14285714285714285,1.0,0.6756756756756757,1.0,0,0.0,12,0.48
17,0,25600,WMSE,0.9545454545454546,0.84,0.0,0.0,0.5428571428571428,0.76,5,0.2,20,0.8
18,0,25600,BIC,0.8888888888888888,0.96,0.13333333333333333,0.8,0.631578947368421,0.96,4,0.16,15,0.6
19,0,25600,qNML,0.8888888888888888,0.96,0.13333333333333333,0.8,0.631578947368421,0.96,4,0.16,15,0.6
20,1,1600,BDeu,1.0,0.92,0.10810810810810811,0.8,0.6388888888888888,0.92,2,0.08,15,0.6
21,1,1600,WMSE,0.9444444444444444,0.68,0.08,0.4,0.4722222222222222,0.68,9,0.36,26,1.04
22,1,1600,BIC,0.85,0.68,0.09523809523809523,0.4,0.5,0.68,11,0.44,24,0.96
23,1,1600,qNML,0.782608695652174,0.72,0.1875,0.6,0.5454545454545454,0.72,12,0.48,22,0.88
24,1,3200,BDeu,1.0,0.96,0.1111111111111111,0.8,0.631578947368421,0.96,1,0.04,15,0.6
25,1,3200,WMSE,1.0,0.72,0.07407407407407407,0.4,0.5,0.72,7,0.28,25,1.0
26,1,3200,BIC,0.9130434782608695,0.84,0.1,0.6,0.6,0.84,6,0.24,18,0.72
27,1,3200,qNML,0.92,0.92,0.10344827586206896,0.6,0.6052631578947368,0.92,4,0.16,17,0.68
28,1,6400,BDeu,1.0,1.0,0.14285714285714285,1.0,0.6756756756756757,1.0,0,0.0,12,0.48
29,1,6400,WMSE,0.95,0.76,0.0,0.0,0.5454545454545454,0.72,7,0.28,21,0.84
30,1,6400,BIC,0.92,0.92,0.13793103448275862,0.8,0.6571428571428571,0.92,4,0.16,14,0.56
31,1,6400,qNML,0.8846153846153846,0.92,0.12903225806451613,0.8,0.6388888888888888,0.92,5,0.2,15,0.6
32,1,12800,BDeu,1.0,1.0,0.14285714285714285,1.0,0.6756756756756757,1.0,0,0.0,12,0.48
33,1,12800,WMSE,0.9545454545454546,0.84,0.02857142857142857,0.2,0.5263157894736842,0.8,5,0.2,22,0.88
34,1,12800,BIC,0.8888888888888888,0.96,0.13333333333333333,0.8,0.631578947368421,0.96,4,0.16,15,0.6
35,1,12800,qNML,0.8888888888888888,0.96,0.13333333333333333,0.8,0.631578947368421,0.96,4,0.16,15,0.6
36,1,25600,BDeu,1.0,1.0,0.14285714285714285,1.0,0.6756756756756757,1.0,0,0.0,12,0.48
37,1,25600,WMSE,0.9130434782608695,0.84,0.0,0.0,0.5277777777777778,0.76,6,0.24,21,0.84
38,1,25600,BIC,0.8888888888888888,0.96,0.13333333333333333,0.8,0.631578947368421,0.96,4,0.16,15,0.6
39,1,25600,qNML,0.8888888888888888,0.96,0.13333333333333333,0.8,0.631578947368421,0.96,4,0.16,15,0.6
40,2,1600,BDeu,1.0,0.88,0.13333333333333333,0.8,0.6470588235294118,0.88,3,0.12,15,0.6
41,2,1600,WMSE,0.8823529411764706,0.6,0.09090909090909091,0.4,0.4411764705882353,0.6,12,0.48,27,1.08
42,2,1600,BIC,0.9473684210526315,0.72,0.041666666666666664,0.2,0.4444444444444444,0.64,8,0.32,26,1.04
43,2,1600,qNML,0.9047619047619048,0.76,0.13636363636363635,0.6,0.5588235294117647,0.76,8,0.32,21,0.84
44,2,3200,BDeu,1.0,1.0,0.14285714285714285,1.0,0.6756756756756757,1.0,0,0.0,12,0.48
45,2,3200,WMSE,1.0,0.72,0.07407407407407407,0.4,0.5,0.72,7,0.28,25,1.0
46,2,3200,BIC,0.8260869565217391,0.76,0.10526315789473684,0.4,0.5588235294117647,0.76,10,0.4,21,0.84
47,2,3200,qNML,0.8,0.8,0.11764705882352941,0.4,0.5757575757575758,0.76,10,0.4,19,0.76
48,2,6400,BDeu,1.0,1.0,0.14285714285714285,1.0,0.6756756756756757,1.0,0,0.0,12,0.48
49,2,6400,WMSE,0.9047619047619048,0.76,0.0,0.0,0.5142857142857142,0.72,8,0.32,22,0.88
50,2,6400,BIC,0.8461538461538461,0.88,0.14285714285714285,0.6,0.6111111111111112,0.88,7,0.28,17,0.68
51,2,6400,qNML,0.8148148148148148,0.88,0.375,0.6,0.6451612903225806,0.8,8,0.32,13,0.52
52,2,12800,BDeu,1.0,1.0,0.14285714285714285,1.0,0.6756756756756757,1.0,0,0.0,12,0.48
53,2,12800,WMSE,0.9545454545454546,0.84,0.02857142857142857,0.2,0.5263157894736842,0.8,5,0.2,22,0.88
54,2,12800,BIC,0.8888888888888888,0.96,0.13333333333333333,0.8,0.631578947368421,0.96,4,0.16,15,0.6
55,2,12800,qNML,0.8888888888888888,0.96,0.13333333333333333,0.8,0.631578947368421,0.96,4,0.16,15,0.6
56,2,25600,BDeu,1.0,1.0,0.14285714285714285,1.0,0.6756756756756757,1.0,0,0.0,12,0.48
57,2,25600,WMSE,0.9545454545454546,0.84,0.0,0.0,0.5428571428571428,0.76,5,0.2,20,0.8
58,2,25600,BIC,0.8888888888888888,0.96,0.13333333333333333,0.8,0.631578947368421,0.96,4,0.16,15,0.6
59,2,25600,qNML,0.8888888888888888,0.96,0.13333333333333333,0.8,0.631578947368421,0.96,4,0.16,15,0.6
60,3,1600,BDeu,0.9545454545454546,0.84,0.09375,0.6,0.5833333333333334,0.84,5,0.2,18,0.72
61,3,1600,WMSE,0.9444444444444444,0.68,0.08695652173913043,0.4,0.4722222222222222,0.68,9,0.36,26,1.04
62,3,1600,BIC,0.85,0.68,0.047619047619047616,0.2,0.42857142857142855,0.6,11,0.44,27,1.08
63,3,1600,qNML,0.7727272727272727,0.68,0.13333333333333333,0.4,0.53125,0.68,13,0.52,23,0.92
64,3,3200,BDeu,1.0,1.0,0.14285714285714285,1.0,0.6756756756756757,1.0,0,0.0,12,0.48
65,3,3200,WMSE,1.0,0.72,0.07407407407407407,0.4,0.5,0.72,7,0.28,25,1.0
66,3,3200,BIC,0.9090909090909091,0.8,0.07142857142857142,0.4,0.5405405405405406,0.8,7,0.28,22,0.88
67,3,3200,qNML,0.875,0.84,0.08333333333333333,0.4,0.5714285714285714,0.8,7,0.28,19,0.76
68,3,6400,BDeu,1.0,1.0,0.14285714285714285,1.0,0.6756756756756757,1.0,0,0.0,12,0.48
69,3,6400,WMSE,0.95,0.76,0.0,0.0,0.5454545454545454,0.72,7,0.28,21,0.84
70,3,6400,BIC,0.8461538461538461,0.88,0.14285714285714285,0.6,0.6111111111111112,0.88,7,0.28,17,0.68
71,3,6400,qNML,0.8148148148148148,0.88,0.375,0.6,0.6451612903225806,0.8,8,0.32,13,0.52
72,3,12800,BDeu,1.0,1.0,0.14285714285714285,1.0,0.6756756756756757,1.0,0,0.0,12,0.48
73,3,12800,WMSE,0.9545454545454546,0.84,0.0,0.0,0.5428571428571428,0.76,5,0.2,20,0.8
74,3,12800,BIC,0.8888888888888888,0.96,0.13333333333333333,0.8,0.631578947368421,0.96,4,0.16,15,0.6
75,3,12800,qNML,0.8888888888888888,0.96,0.13333333333333333,0.8,0.631578947368421,0.96,4,0.16,15,0.6
