,Seed,Samples,Score,PRECISION,RECALL,V PRECISION,V RECALL,DAG PRECISION,DAG RECALL,HAMMING,SCALED HAMMING,SHD,SCALED SHD
0,0,100,BDeu,0.8333333333333334,0.6,0.05263157894736842,0.2,0.45161290322580644,0.56,13,0.52,24,0.96
1,0,100,WMSE,1.0,0.12,0.0,0.0,0.5,0.12,22,0.88,25,1.0
2,0,100,BIC,1.0,0.16,0.0,0.0,0.5,0.16,21,0.84,25,1.0
3,0,100,qNML,0.4444444444444444,0.32,0.0,0.0,0.2222222222222222,0.32,27,1.08,35,1.4
4,0,200,BDeu,1.0,0.64,0.09090909090909091,0.4,0.5,0.64,9,0.36,25,1.0
5,0,200,WMSE,1.0,0.16,0.0,0.0,0.5,0.16,21,0.84,25,1.0
6,0,200,BIC,0.5454545454545454,0.24,0.0,0.0,0.2727272727272727,0.24,24,0.96,30,1.2
7,0,200,qNML,0.4444444444444444,0.32,0.0,0.0,0.2222222222222222,0.32,27,1.08,35,1.4
8,0,300,BDeu,0.9523809523809523,0.8,0.06896551724137931,0.4,0.5405405405405406,0.8,6,0.24,21,0.84
9,0,300,WMSE,0.6666666666666666,0.16,0.0,0.0,0.3333333333333333,0.16,23,0.92,27,1.08
10,0,300,BIC,0.6666666666666666,0.4,0.1,0.4,0.3333333333333333,0.4,20,0.8,30,1.2
11,0,300,qNML,0.6666666666666666,0.48,0.045454545454545456,0.2,0.3333333333333333,0.48,19,0.76,31,1.24
12,0,400,BDeu,1.0,0.84,0.0625,0.4,0.5833333333333334,0.84,4,0.16,19,0.76
13,0,400,WMSE,0.7,0.28,0.0,0.0,0.35,0.28,21,0.84,28,1.12
14,0,400,BIC,0.8333333333333334,0.6,0.07692307692307693,0.4,0.4166666666666667,0.6,13,0.52,28,1.12
15,0,400,qNML,0.8421052631578947,0.64,0.09090909090909091,0.4,0.45714285714285713,0.64,12,0.48,25,1.0
16,0,500,BDeu,1.0,0.84,0.11538461538461539,0.6,0.6176470588235294,0.84,4,0.16,17,0.68
17,0,500,WMSE,0.7857142857142857,0.44,0.0,0.0,0.39285714285714285,0.44,17,0.68,28,1.12
18,0,500,BIC,0.7058823529411765,0.48,0.03571428571428571,0.2,0.35294117647058826,0.48,18,0.72,30,1.2
19,0,500,qNML,0.7368421052631579,0.56,0.043478260869565216,0.2,0.4,0.56,16,0.64,27,1.08
20,0,600,BDeu,0.9523809523809523,0.8,0.0625,0.4,0.5555555555555556,0.8,6,0.24,20,0.8
21,0,600,WMSE,0.8571428571428571,0.48,0.11764705882352941,0.4,0.42857142857142855,0.48,15,0.6,27,1.08
22,0,600,BIC,0.7647058823529411,0.52,0.09090909090909091,0.4,0.38235294117647056,0.52,16,0.64,29,1.16
23,0,600,qNML,0.7619047619047619,0.64,0.07142857142857142,0.2,0.5,0.6,14,0.56,23,0.92
24,0,700,BDeu,1.0,0.88,0.058823529411764705,0.4,0.5405405405405406,0.8,3,0.12,20,0.8
25,0,700,WMSE,0.875,0.56,0.1,0.4,0.4375,0.56,13,0.52,27,1.08
26,0,700,BIC,0.8333333333333334,0.6,0.08333333333333333,0.4,0.4166666666666667,0.6,13,0.52,28,1.12
27,0,700,qNML,0.7619047619047619,0.64,0.043478260869565216,0.2,0.43243243243243246,0.64,14,0.56,29,1.16
28,0,800,BDeu,1.0,0.88,0.07894736842105263,0.6,0.6111111111111112,0.88,3,0.12,17,0.68
29,0,800,WMSE,0.8666666666666667,0.52,0.05555555555555555,0.2,0.43333333333333335,0.52,14,0.56,27,1.08
30,0,800,BIC,0.8888888888888888,0.64,0.043478260869565216,0.2,0.4444444444444444,0.64,11,0.44,27,1.08
31,0,800,qNML,0.7619047619047619,0.64,0.0625,0.2,0.48484848484848486,0.64,14,0.56,26,1.04
32,0,900,BDeu,1.0,0.8,0.03571428571428571,0.2,0.5142857142857142,0.72,5,0.2,22,0.88
33,0,900,WMSE,0.875,0.56,0.1,0.4,0.4375,0.56,13,0.52,27,1.08
34,0,900,BIC,0.8888888888888888,0.64,0.08333333333333333,0.4,0.4444444444444444,0.64,11,0.44,27,1.08
35,0,900,qNML,0.7619047619047619,0.64,0.125,0.4,0.5161290322580645,0.64,14,0.56,23,0.92
36,0,1000,BDeu,1.0,0.88,0.07894736842105263,0.6,0.6111111111111112,0.88,3,0.12,17,0.68
37,0,1000,WMSE,0.8823529411764706,0.6,0.09090909090909091,0.4,0.4411764705882353,0.6,12,0.48,27,1.08
38,0,1000,BIC,0.8888888888888888,0.64,0.08695652173913043,0.4,0.4444444444444444,0.64,11,0.44,27,1.08
39,0,1000,qNML,0.8181818181818182,0.72,0.10526315789473684,0.4,0.5454545454545454,0.72,11,0.44,22,0.88
40,1,100,BDeu,0.8888888888888888,0.64,0.038461538461538464,0.2,0.48484848484848486,0.64,11,0.44,24,0.96
41,1,100,WMSE,1.0,0.08,0.0,0.0,0.5,0.08,23,0.92,25,1.0
42,1,100,BIC,0.75,0.12,0.0,0.0,0.375,0.12,23,0.92,26,1.04
43,1,100,qNML,0.3888888888888889,0.28,0.0,0.0,0.19444444444444445,0.28,29,1.16,36,1.44
44,1,200,BDeu,0.9444444444444444,0.68,0.08695652173913043,0.4,0.5151515151515151,0.68,9,0.36,23,0.92
45,1,200,WMSE,0.8333333333333334,0.2,0.0,0.0,0.4166666666666667,0.2,21,0.84,26,1.04
46,1,200,BIC,0.6363636363636364,0.28,0.07692307692307693,0.2,0.3181818181818182,0.28,22,0.88,29,1.16
47,1,200,qNML,0.5555555555555556,0.4,0.0,0.0,0.2777777777777778,0.4,23,0.92,33,1.32
48,1,300,BDeu,1.0,0.8,0.125,0.6,0.5714285714285714,0.8,5,0.2,20,0.8
49,1,300,WMSE,0.7272727272727273,0.32,0.08333333333333333,0.2,0.36363636363636365,0.32,20,0.8,28,1.12
50,1,300,BIC,0.7333333333333333,0.44,0.058823529411764705,0.2,0.36666666666666664,0.44,18,0.72,29,1.16
51,1,300,qNML,0.6111111111111112,0.44,0.0,0.0,0.3055555555555556,0.44,21,0.84,32,1.28
52,1,400,BDeu,1.0,0.76,0.03571428571428571,0.2,0.5428571428571428,0.76,6,0.24,22,0.88
53,1,400,WMSE,0.7272727272727273,0.32,0.0,0.0,0.36363636363636365,0.32,20,0.8,28,1.12
54,1,400,BIC,0.6875,0.44,0.08695652173913043,0.4,0.34375,0.44,19,0.76,30,1.2
55,1,400,qNML,0.7777777777777778,0.56,0.037037037037037035,0.2,0.3888888888888889,0.56,15,0.6,29,1.16
56,1,500,BDeu,1.0,0.76,0.06896551724137931,0.4,0.5428571428571428,0.76,6,0.24,22,0.88
57,1,500,WMSE,0.8333333333333334,0.4,0.0,0.0,0.4166666666666667,0.4,17,0.68,27,1.08
58,1,500,BIC,0.6470588235294118,0.44,0.041666666666666664,0.2,0.3235294117647059,0.44,20,0.8,31,1.24
59,1,500,qNML,0.631578947368421,0.48,0.041666666666666664,0.2,0.34285714285714286,0.48,20,0.8,29,1.16
60,1,600,BDeu,0.9545454545454546,0.84,0.06896551724137931,0.4,0.5135135135135135,0.76,5,0.2,21,0.84
61,1,600,WMSE,0.8461538461538461,0.44,0.0,0.0,0.4230769230769231,0.44,16,0.64,27,1.08
62,1,600,BIC,0.7777777777777778,0.56,0.08695652173913043,0.4,0.3888888888888889,0.56,15,0.6,29,1.16
63,1,600,qNML,0.7368421052631579,0.56,0.037037037037037035,0.2,0.3684210526315789,0.56,16,0.64,30,1.2
64,1,700,BDeu,0.9523809523809523,0.8,0.034482758620689655,0.2,0.4864864864864865,0.72,6,0.24,23,0.92
65,1,700,WMSE,0.8666666666666667,0.52,0.10526315789473684,0.4,0.43333333333333335,0.52,14,0.56,27,1.08
66,1,700,BIC,0.7222222222222222,0.52,0.07407407407407407,0.4,0.3611111111111111,0.52,17,0.68,30,1.2
67,1,700,qNML,0.6666666666666666,0.56,0.06896551724137931,0.4,0.358974358974359,0.56,18,0.72,29,1.16
68,1,800,BDeu,0.9565217391304348,0.88,0.8,0.8,0.8260869565217391,0.76,4,0.16,7,0.28
69,1,800,WMSE,0.8823529411764706,0.6,0.09090909090909091,0.4,0.4411764705882353,0.6,12,0.48,27,1.08
70,1,800,BIC,0.8421052631578947,0.64,0.08,0.4,0.42105263157894735,0.64,12,0.48,28,1.12
71,1,800,qNML,0.8095238095238095,0.68,0.09523809523809523,0.4,0.4722222222222222,0.68,12,0.48,25,1.0
72,1,900,BDeu,0.9545454545454546,0.84,0.06896551724137931,0.4,0.5135135135135135,0.76,5,0.2,21,0.84
73,1,900,WMSE,0.8823529411764706,0.6,0.09090909090909091,0.4,0.4411764705882353,0.6,12,0.48,27,1.08
74,1,900,BIC,0.8421052631578947,0.64,0.13333333333333333,0.4,0.5161290322580645,0.64,12,0.48,24,0.96
75,1,900,qNML,0.8571428571428571,0.72,0.125,0.4,0.5625,0.72,10,0.4,21,0.84
76,1,1000,BDeu,1.0,0.88,0.058823529411764705,0.4,0.5405405405405406,0.8,3,0.12,20,0.8
77,1,1000,WMSE,0.8823529411764706,0.6,0.09523809523809523,0.4,0.4411764705882353,0.6,12,0.48,27,1.08
78,1,1000,BIC,0.8947368421052632,0.68,0.043478260869565216,0.2,0.4166666666666667,0.6,10,0.4,27,1.08
79,1,1000,qNML,0.8181818181818182,0.72,0.10526315789473684,0.4,0.5454545454545454,0.72,11,0.44,22,0.88
80,2,100,BDeu,0.9333333333333333,0.56,0.07692307692307693,0.2,0.5185185185185185,0.56,12,0.48,23,0.92
81,2,100,WMSE,1.0,0.16,0.0,0.0,0.5,0.16,21,0.84,25,1.0
82,2,100,BIC,0.75,0.12,0.0,0.0,0.375,0.12,23,0.92,26,1.04
83,2,100,qNML,0.2777777777777778,0.2,0.0,0.0,0.1388888888888889,0.2,33,1.32,38,1.52
84,2,200,BDeu,0.9444444444444444,0.68,0.045454545454545456,0.2,0.5151515151515151,0.68,9,0.36,23,0.92
85,2,200,WMSE,1.0,0.16,0.0,0.0,0.5,0.16,21,0.84,25,1.0
86,2,200,BIC,0.7,0.28,0.0,0.0,0.35,0.28,21,0.84,28,1.12
87,2,200,qNML,0.5263157894736842,0.4,0.0,0.0,0.2777777777777778,0.4,24,0.96,34,1.36
88,2,300,BDeu,1.0,0.76,0.06896551724137931,0.4,0.5428571428571428,0.76,6,0.24,22,0.88
89,2,300,WMSE,1.0,0.24,0.0,0.0,0.5,0.24,19,0.76,25,1.0
90,2,300,BIC,0.7142857142857143,0.4,0.125,0.4,0.35714285714285715,0.4,19,0.76,29,1.16
91,2,300,qNML,0.6666666666666666,0.48,0.037037037037037035,0.2,0.3333333333333333,0.48,19,0.76,31,1.24
92,2,400,BDeu,0.9523809523809523,0.8,0.07142857142857142,0.2,0.5483870967741935,0.68,6,0.24,18,0.72
93,2,400,WMSE,0.8,0.32,0.1111111111111111,0.2,0.4,0.32,19,0.76,27,1.08
94,2,400,BIC,0.6470588235294118,0.44,0.041666666666666664,0.2,0.3235294117647059,0.44,20,0.8,31,1.24
95,2,400,qNML,0.7,0.56,0.04,0.2,0.3783783783783784,0.56,17,0.68,28,1.12
96,2,500,BDeu,0.95,0.76,0.03571428571428571,0.2,0.5142857142857142,0.72,7,0.28,23,0.92
97,2,500,WMSE,0.8181818181818182,0.36,0.0,0.0,0.4090909090909091,0.36,18,0.72,27,1.08
98,2,500,BIC,0.7777777777777778,0.56,0.045454545454545456,0.2,0.3888888888888889,0.56,15,0.6,29,1.16
99,2,500,qNML,0.8333333333333334,0.6,0.043478260869565216,0.2,0.4166666666666667,0.6,13,0.52,28,1.12
100,2,600,BDeu,1.0,0.76,0.030303030303030304,0.2,0.5428571428571428,0.76,6,0.24,22,0.88
101,2,600,WMSE,0.7692307692307693,0.4,0.0,0.0,0.38461538461538464,0.4,18,0.72,28,1.12
102,2,600,BIC,0.7777777777777778,0.56,0.038461538461538464,0.2,0.3888888888888889,0.56,15,0.6,29,1.16
