,Seed,Samples,Score,PRECISION,RECALL,V PRECISION,V RECALL
0,0,100,L2-DN,0.0,0.0,0.0,0.0
1,0,100,L2,0.0,0.0,0.0,0.0
2,0,100,BIC,0.0,0.0,0.0,0.0
3,0,200,L2-DN,0.0,0.0,0.0,0.0
4,0,200,L2,0.0,0.0,0.0,0.0
5,0,200,BIC,0.0,0.0,0.0,0.0
6,0,400,L2-DN,1.0,0.07692307692307693,0.0,0.0
7,0,400,L2,0.0,0.0,0.0,0.0
8,0,400,BIC,0.0,0.0,0.0,0.0
9,0,800,L2-DN,0.0,0.0,0.0,0.0
10,0,800,L2,0.0,0.0,0.0,0.0
11,0,800,BIC,1.0,0.07692307692307693,0.0,0.0
12,0,1600,L2-DN,1.0,0.3076923076923077,0.0,0.0
13,0,1600,L2,1.0,0.07692307692307693,0.0,0.0
14,0,1600,BIC,1.0,0.23076923076923078,0.0,0.0
15,0,3200,L2-DN,1.0,0.6153846153846154,0.0,0.0
16,0,3200,L2,1.0,0.3076923076923077,0.0,0.0
17,0,3200,BIC,1.0,0.5384615384615384,0.0,0.0
18,0,6400,L2-DN,0.9166666666666666,0.8461538461538461,1.0,0.6666666666666666
19,0,6400,L2,1.0,0.6923076923076923,0.0,0.0
20,0,6400,BIC,0.9166666666666666,0.8461538461538461,1.0,1.0
21,1,100,L2-DN,0.0,0.0,0.0,0.0
22,1,100,L2,0.0,0.0,0.0,0.0
23,1,100,BIC,0.0,0.0,0.0,0.0
24,1,200,L2-DN,0.0,0.0,0.0,0.0
25,1,200,L2,0.0,0.0,0.0,0.0
26,1,200,BIC,0.0,0.0,0.0,0.0
27,1,400,L2-DN,1.0,0.07142857142857142,0.0,0.0
28,1,400,L2,0.0,0.0,0.0,0.0
29,1,400,BIC,0.0,0.0,0.0,0.0
30,1,800,L2-DN,1.0,0.14285714285714285,0.0,0.0
31,1,800,L2,1.0,0.07142857142857142,0.0,0.0
32,1,800,BIC,1.0,0.07142857142857142,0.0,0.0
33,1,1600,L2-DN,1.0,0.42857142857142855,0.0,0.0
34,1,1600,L2,1.0,0.2857142857142857,0.0,0.0
35,1,1600,BIC,1.0,0.35714285714285715,0.0,0.0
36,1,3200,L2-DN,0.9,0.6428571428571429,1.0,0.2
37,1,3200,L2,1.0,0.5714285714285714,0.0,0.0
38,1,3200,BIC,0.8888888888888888,0.5714285714285714,0.0,0.0
39,1,6400,L2-DN,0.9230769230769231,0.8571428571428571,1.0,0.4
40,1,6400,L2,1.0,0.7857142857142857,1.0,0.4
41,1,6400,BIC,0.9230769230769231,0.8571428571428571,1.0,0.4
42,2,100,L2-DN,0.0,0.0,0.0,0.0
43,2,100,L2,0.0,0.0,0.0,0.0
44,2,100,BIC,0.0,0.0,0.0,0.0
45,2,200,L2-DN,0.0,0.0,0.0,0.0
46,2,200,L2,0.0,0.0,0.0,0.0
47,2,200,BIC,0.0,0.0,0.0,0.0
48,2,400,L2-DN,0.0,0.0,0.0,0.0
49,2,400,L2,0.0,0.0,0.0,0.0
50,2,400,BIC,0.0,0.0,0.0,0.0
51,2,800,L2-DN,0.0,0.0,0.0,0.0
52,2,800,L2,0.0,0.0,0.0,0.0
53,2,800,BIC,0.0,0.0,0.0,0.0
54,2,1600,L2-DN,0.0,0.0,0.0,0.0
55,2,1600,L2,0.0,0.0,0.0,0.0
56,2,1600,BIC,0.0,0.0,0.0,0.0
57,2,3200,L2-DN,1.0,0.46153846153846156,0.0,0.0
58,2,3200,L2,1.0,0.3076923076923077,0.0,0.0
59,2,3200,BIC,1.0,0.23076923076923078,0.0,0.0
60,2,6400,L2-DN,0.8,0.6153846153846154,0.0,0.0
61,2,6400,L2,1.0,0.5384615384615384,0.0,0.0
