,Seed,Samples,L1 DAG F1,BIC DAG F1,L1 SKEL F1,BIC SKEL F1
0,0,100,0.0,0.0,0.0,0.0
1,0,200,0.0,0.0,0.0,0.0
2,0,400,0.0,0.0,0.0,0.0
3,0,800,0.0,0.0,0.0,0.0
4,0,1600,0.0,0.0,0.0,0.0
5,0,3200,0.17391304347826086,0.0,0.608695652173913,0.0
6,1,100,0.0,0.0,0.0,0.0
7,1,200,0.0,0.0,0.0,0.0
8,1,400,0.0,0.0,0.0,0.0
9,1,800,0.0,0.0,0.0,0.0
10,1,1600,0.10526315789473682,0.0,0.5263157894736842,0.0
11,1,3200,0.14814814814814817,0.125,0.6666666666666666,0.25
12,2,100,0.0,0.0,0.0,0.0
13,2,200,0.0,0.0,0.0,0.0
14,2,400,0.0,0.0,0.0,0.0
15,2,800,0.2666666666666667,0.0,0.2666666666666667,0.0
16,2,1600,0.2,0.0,0.5,0.0
17,2,3200,0.3076923076923077,0.0,0.6923076923076923,0.2666666666666667
18,3,100,0.0,0.0,0.0,0.0
19,3,200,0.0,0.0,0.0,0.0
20,3,400,0.0,0.0,0.0,0.0
21,3,800,0.0,0.0,0.0,0.0
22,3,1600,0.3,0.0,0.6,0.0
23,3,3200,0.46153846153846156,0.0,0.6923076923076923,0.2666666666666667
24,4,100,0.0,0.0,0.0,0.0
25,4,200,0.0,0.0,0.0,0.0
26,4,400,0.0,0.0,0.0,0.0
27,4,800,0.0,0.0,0.0,0.0
28,4,1600,0.1111111111111111,0.0,0.5555555555555556,0.0
29,4,3200,0.5599999999999999,0.0,0.8799999999999999,0.0
30,5,100,0.0,0.0,0.0,0.0
31,5,200,0.0,0.0,0.0,0.0
32,5,400,0.0,0.0,0.0,0.0
33,5,800,0.0,0.0,0.0,0.0
34,5,1600,0.0,0.0,0.2666666666666667,0.0
35,5,3200,0.2608695652173913,0.0,0.4347826086956522,0.0
36,6,100,0.0,0.0,0.0,0.0
37,6,200,0.0,0.0,0.0,0.0
38,6,400,0.0,0.0,0.0,0.0
39,6,800,0.0,0.0,0.0,0.0
40,6,1600,0.375,0.0,0.375,0.0
41,6,3200,0.5599999999999999,0.0,0.7199999999999999,0.14285714285714288
42,7,100,0.0,0.0,0.0,0.0
43,7,200,0.0,0.0,0.0,0.0
44,7,400,0.0,0.0,0.0,0.0
45,7,800,0.0,0.0,0.0,0.0
46,7,1600,0.1111111111111111,0.0,0.6666666666666666,0.0
47,7,3200,0.08333333333333333,0.0,0.6666666666666666,0.0
48,8,100,0.0,0.0,0.0,0.0
49,8,200,0.0,0.0,0.0,0.0
50,8,400,0.0,0.0,0.0,0.0
51,8,800,0.0,0.0,0.0,0.0
52,8,1600,0.2222222222222222,0.0,0.5555555555555556,0.0
53,8,3200,0.2608695652173913,0.0,0.6956521739130435,0.0
54,9,100,0.0,0.0,0.0,0.0
55,9,200,0.0,0.0,0.0,0.0
56,9,400,0.0,0.0,0.0,0.0
57,9,800,0.0,0.0,0.0,0.0
58,9,1600,0.11764705882352942,0.0,0.4705882352941177,0.0
59,9,3200,0.36363636363636365,0.0,0.7272727272727273,0.16666666666666669
