,Seed,Samples,L1 DAG F1,BIC DAG F1,L1 SKEL F1,BIC SKEL F1
0,0,100,0.0,0.0,0.0,0.0
1,0,200,0.27272727272727276,0.0,0.4545454545454546,0.0
2,0,400,0.23076923076923078,0.0,0.6153846153846154,0.0
3,0,800,0.0,0.125,0.5384615384615384,0.375
4,0,1600,0.5384615384615384,0.4545454545454546,0.9230769230769231,0.8181818181818181
5,0,3200,0.46153846153846156,0.32,0.7692307692307693,0.8
6,1,100,0.3333333333333333,0.0,0.3333333333333333,0.0
7,1,200,0.16666666666666666,0.0,0.41666666666666663,0.0
8,1,400,0.2857142857142857,0.0,0.6428571428571429,0.13333333333333333
9,1,800,0.35714285714285715,0.3333333333333333,0.7142857142857143,0.4444444444444445
10,1,1600,0.5714285714285714,0.41666666666666663,0.8571428571428571,0.8333333333333333
11,1,3200,0.5,0.7142857142857143,0.9285714285714286,0.9285714285714286
12,2,100,0.0,0.0,0.23529411764705882,0.0
13,2,200,0.17391304347826086,0.0,0.34782608695652173,0.0
14,2,400,0.5384615384615384,0.0,0.8461538461538461,0.0
15,2,800,0.3076923076923077,0.0,0.8461538461538461,0.14285714285714288
16,2,1600,0.38461538461538464,0.125,0.6923076923076923,0.375
17,2,3200,0.23076923076923078,0.6153846153846154,0.8461538461538461,0.9230769230769231
18,3,100,0.09523809523809525,0.0,0.4761904761904762,0.0
19,3,200,0.27272727272727276,0.0,0.7272727272727274,0.0
20,3,400,0.15384615384615385,0.0,0.6923076923076923,0.0
21,3,800,0.6153846153846154,0.3157894736842105,0.9230769230769231,0.631578947368421
22,3,1600,0.38461538461538464,0.6363636363636364,0.7692307692307693,0.7272727272727274
23,3,3200,0.38461538461538464,0.7692307692307693,0.8461538461538461,0.9230769230769231
24,4,100,0.1,0.0,0.3,0.0
25,4,200,0.2608695652173913,0.0,0.34782608695652173,0.0
26,4,400,0.23076923076923078,0.0,0.5384615384615384,0.0
27,4,800,0.6153846153846154,0.33333333333333337,0.7692307692307693,0.5555555555555556
28,4,1600,0.7692307692307693,0.4545454545454546,0.9230769230769231,0.8181818181818181
29,4,3200,0.46153846153846156,0.64,0.7692307692307693,0.8799999999999999
30,5,100,0.09523809523809525,0.0,0.4761904761904762,0.0
31,5,200,0.24999999999999994,0.0,0.4999999999999999,0.0
32,5,400,0.23076923076923078,0.0,0.46153846153846156,0.0
33,5,800,0.46153846153846156,0.47058823529411764,0.6923076923076923,0.47058823529411764
34,5,1600,0.5384615384615384,0.5454545454545455,0.7692307692307693,0.7272727272727274
35,5,3200,0.6153846153846154,0.5833333333333334,0.9230769230769231,0.8333333333333333
36,6,100,0.0,0.0,0.0,0.0
37,6,200,0.17391304347826086,0.0,0.34782608695652173,0.0
38,6,400,0.0,0.0,0.5599999999999999,0.0
39,6,800,0.15384615384615385,0.3529411764705882,0.6153846153846154,0.47058823529411764
40,6,1600,0.5384615384615384,0.42105263157894735,0.7692307692307693,0.631578947368421
41,6,3200,0.38461538461538464,0.64,0.7692307692307693,0.8
42,7,100,0.0,0.0,0.15384615384615385,0.0
43,7,200,0.1904761904761905,0.0,0.380952380952381,0.0
44,7,400,0.25,0.0,0.6666666666666666,0.0
45,7,800,0.3333333333333333,0.15384615384615385,0.8333333333333334,0.15384615384615385
46,7,1600,0.16666666666666666,0.4,0.75,0.8
47,7,3200,0.3333333333333333,0.2608695652173913,0.75,0.7826086956521738
48,8,100,0.0,0.0,0.0,0.0
49,8,200,0.3,0.0,0.5,0.0
50,8,400,0.25,0.0,0.5833333333333334,0.2857142857142857
51,8,800,0.25,0.0,0.4166666666666667,0.4
52,8,1600,0.5833333333333334,0.380952380952381,0.8333333333333334,0.761904761904762
53,8,3200,0.5,0.4166666666666667,0.8333333333333334,0.75
54,9,100,0.3529411764705882,0.0,0.3529411764705882,0.0
55,9,200,0.18181818181818182,0.0,0.5454545454545454,0.0
56,9,400,0.36363636363636365,0.3076923076923077,0.5454545454545454,0.3076923076923077
57,9,800,0.5454545454545454,0.26666666666666666,0.8181818181818182,0.5333333333333333
58,9,1600,0.8181818181818182,0.5,0.9090909090909091,0.7000000000000001
59,9,3200,0.5454545454545454,0.5454545454545454,0.8181818181818182,0.9090909090909091
