,Seed,Samples,L2 V RECALL,BIC V RECALL,L2 SKEL RECALL,BIC SKEL RECALL
0,0,100,0.0,0.0,0.0,0.0
1,0,200,0.0,0.0,0.0,0.0
2,0,400,0.0,0.0,0.0,0.0
3,0,800,0.0,0.0,0.38461538461538464,0.23076923076923078
4,0,1600,0.0,0.0,0.6923076923076923,0.6923076923076923
5,1,100,0.0,0.0,0.0,0.0
6,1,200,0.0,0.0,0.0,0.0
7,1,400,0.0,0.0,0.14285714285714285,0.07142857142857142
8,1,800,0.0,0.0,0.35714285714285715,0.2857142857142857
9,1,1600,0.2,0.2,0.7142857142857143,0.7142857142857143
10,2,100,0.0,0.0,0.0,0.0
11,2,200,0.0,0.0,0.0,0.0
12,2,400,0.0,0.0,0.0,0.0
13,2,800,0.0,0.0,0.23076923076923078,0.07692307692307693
14,2,1600,0.0,0.0,0.3076923076923077,0.23076923076923078
15,3,100,0.0,0.0,0.0,0.0
16,3,200,0.0,0.0,0.0,0.0
17,3,400,0.0,0.0,0.0,0.0
18,3,800,0.0,0.0,0.46153846153846156,0.46153846153846156
19,3,1600,0.0,0.0,0.6153846153846154,0.6153846153846154
20,4,100,0.0,0.0,0.0,0.0
21,4,200,0.0,0.0,0.0,0.0
22,4,400,0.0,0.0,0.0,0.0
23,4,800,0.0,0.0,0.38461538461538464,0.38461538461538464
24,4,1600,0.0,0.0,0.6153846153846154,0.6923076923076923
